datetime,date,hour,day_of_week,month,year,is_weekend,week_num,day_num,vehicles_hour,motorcycle,car_4wheel,ebike_3wheel,daily_total,revenue_hour,daily_revenue,is_morning_peak,is_lunch_peak,is_afternoon_peak,is_peak_hour,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,moto_ratio,car_ratio,ebike_ratio,lag_1h,lag_2h,lag_3h,lag_24h,roll_3h,roll_7h,roll_24h
2024-11-21 06:00:00,2024-11-21,6,3,11,2024,0,47,0,6.06,6,0,0,197,152.96,4975.0,0,0,0,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0.8498583569405099,0.0,0.0,0.0,0.0,0.0,0.0,6.06,6.06,6.06
2024-11-21 07:00:00,2024-11-21,7,3,11,2024,0,47,0,23.36,23,0,0,197,590.01,4975.0,1,0,0,1,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0.9441707717569787,0.0,0.0,6.06,0.0,0.0,0.0,14.709999999999999,14.709999999999999,14.709999999999999
2024-11-21 08:00:00,2024-11-21,8,3,11,2024,0,47,0,34.63,35,0,0,197,874.48,4975.0,1,0,0,1,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0.9823182711198427,0.0,0.0,23.36,6.06,0.0,0.0,21.349999999999998,21.349999999999998,21.349999999999998
2024-11-21 09:00:00,2024-11-21,9,3,11,2024,0,47,0,19.94,19,0,0,197,503.52,4975.0,1,0,0,1,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0.9073543457497611,0.0,0.0,34.63,23.36,6.06,0.0,25.97666666666667,20.997500000000002,20.997500000000002
2024-11-21 10:00:00,2024-11-21,10,3,11,2024,0,47,0,11.22,12,0,0,197,283.38,4975.0,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0.9819967266775776,0.0,0.0,19.94,34.63,23.36,0.0,21.930000000000003,19.042,19.042
2024-11-21 11:00:00,2024-11-21,11,3,11,2024,0,47,0,10.57,10,0,0,197,266.98,4975.0,0,0,0,0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0.8643042350907519,0.0,0.0,11.22,19.94,34.63,0.0,13.910000000000004,17.63,17.63
2024-11-21 12:00:00,2024-11-21,12,3,11,2024,0,47,0,19.16,19,0,0,197,483.96,4975.0,0,1,0,1,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0.9424603174603174,0.0,0.0,10.57,11.22,19.94,0.0,13.65,17.84857142857143,17.84857142857143
2024-11-21 13:00:00,2024-11-21,13,3,11,2024,0,47,0,15.29,15,0,0,197,386.05,4975.0,0,1,0,0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0.9208103130755065,0.0,0.0,19.16,10.57,11.22,0.0,15.00666666666667,19.16714285714286,17.528750000000002
2024-11-21 14:00:00,2024-11-21,14,3,11,2024,0,47,0,9.84,9,0,0,197,248.58,4975.0,0,0,0,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0.8302583025830258,0.0,0.0,15.29,19.16,10.57,0.0,14.763333333333335,17.235714285714288,16.674444444444443
2024-11-21 15:00:00,2024-11-21,15,3,11,2024,0,47,0,7.96,7,0,0,197,201.08,4975.0,0,0,0,0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0.7812499999999999,0.0,0.0,9.84,15.29,19.16,0.0,11.030000000000001,13.425714285714287,15.803
